company,time,year,quarter,sale,profit,profit margin
CU,1,2018,1,13166,261,1.982378855
CU,2,2018,2,14785,564,3.814677038
CU,3,2018,3,15394,656,4.261400546
CU,4,2018,4,14414,414,2.872207576
CU,5,2019,1,13498,263,1.948436805
CU,6,2019,2,15165,610,4.022420046
CU,7,2019,3,15828,648,4.094010614
CU,8,2019,4,14970,445,2.97261189
CU,9,2020,1,13931,185,1.327973584
CU,10,2020,2,15491,445,2.872635724
CU,11,2020,3,16828,637,3.785357737
CU,12,2020,4,15563,355,2.281051211
CU,13,2021,1,15012,216,1.438848921
CU,14,2021,2,17005,587,3.451925904
Emart,1,2018,1,29054,1474,5.073311764
Emart,2,2018,2,26987,407,1.508133546
Emart,3,2018,3,31571,1780,5.638085585
Emart,4,2018,4,27331,736,2.69291281
Emart,5,2019,1,28385,1143,4.026774705
Emart,6,2019,2,25784,-43,-0.16677009
Emart,7,2019,3,29557,1296,4.384748114
Emart,8,2019,4,26667,426,1.597480031
Emart,9,2020,1,27807,846,3.042399396
Emart,10,2020,2,25520,-242,-0.948275862
Emart,11,2020,3,30445,1140,3.744457218
Emart,12,2020,4,28510,668,2.343037531
Emart,13,2021,1,30019,912,3.038075885
Emart,14,2021,2,27872,-196,-0.703214696
Emart24,1,2018,1,2076,-124,-5.973025048
Emart24,2,2018,2,2557,-96,-3.754399687
Emart24,3,2018,3,2875,-74,-2.573913043
Emart24,4,2018,4,2870,-102,-3.554006969
Emart24,5,2019,1,2823,-93,-3.294367694
Emart24,6,2019,2,3384,-64,-1.891252955
Emart24,7,2019,3,3644,-22,-0.603732162
Emart24,8,2019,4,3694,-103,-2.78830536
Emart24,9,2020,1,3542,-80,-2.258610954
Emart24,10,2020,2,4030,-52,-1.290322581
Emart24,11,2020,3,4443,17,0.382624353
Emart24,12,2020,4,4247,-104,-2.448787379
Emart24,13,2021,1,4230,-53,-1.252955083
Emart24,14,2021,2,4795,8,0.166840459
EmartEveryday,1,2018,1,2793,2,0.07160759
EmartEveryday,2,2018,2,2938,16,0.544588155
EmartEveryday,3,2018,3,3143,49,1.559020045
EmartEveryday,4,2018,4,2875,-14,-0.486956522
EmartEveryday,5,2019,1,2975,20,0.672268908
EmartEveryday,6,2019,2,3094,45,1.454427925
EmartEveryday,7,2019,3,3203,71,2.21667187
EmartEveryday,8,2019,4,3025,17,0.561983471
EmartEveryday,9,2020,1,3385,114,3.367799114
EmartEveryday,10,2020,2,3130,62,1.980830671
EmartEveryday,11,2020,3,3343,53,1.585402333
EmartEveryday,12,2020,4,3094,48,1.551389787
EmartEveryday,13,2021,1,3150,45,1.428571429
EmartEveryday,14,2021,2,3222,68,2.110490379
GS25,1,2018,1,14792,199,1.345321796
GS25,2,2018,2,16697,653,3.910882194
GS25,3,2018,3,17565,764,4.349558782
GS25,4,2018,4,16456,306,1.859504132
GS25,5,2019,1,15569,268,1.721369388
GS25,6,2019,2,17580,868,4.937428896
GS25,7,2019,3,18178,898,4.940037408
GS25,8,2019,4,17237,53,0.307478099
GS25,9,2020,1,16028,406,2.533067133
GS25,10,2020,2,17629,702,3.98207499
GS25,11,2020,3,18786,810,4.311721495
GS25,12,2020,4,17272,374,2.165354331
GS25,13,2021,1,16479,418,2.536561685
GS25,14,2021,2,18160,663,3.650881057
GSSuper,1,2018,1,3648,10,0.274122807
GSSuper,2,2018,2,3732,11,0.294748124
GSSuper,3,2018,3,4090,57,1.393643032
GSSuper,4,2018,4,3599,-98,-2.722978605
GSSuper,5,2019,1,3759,-48,-1.276935355
GSSuper,6,2019,2,3847,-11,-0.285937094
GSSuper,7,2019,3,3893,24,0.616491138
GSSuper,8,2019,4,3255,-255,-7.834101382
GSSuper,9,2020,1,3451,164,4.752245726
GSSuper,10,2020,2,3146,92,2.924348379
GSSuper,11,2020,3,3294,154,4.67516697
GSSuper,12,2020,4,2847,-94,-3.30172111
GSSuper,13,2021,1,2985,111,3.718592965
GSSuper,14,2021,2,2974,31,1.042367182
SevenEleven,1,2018,1,8668,8,0.092293493
SevenEleven,2,2018,2,9728,193,1.983963816
SevenEleven,3,2018,3,10243,188,1.835399785
SevenEleven,4,2018,4,9360,40,0.427350427
SevenEleven,5,2019,1,9183,34,0.370249374
SevenEleven,6,2019,2,10214,196,1.918934795
SevenEleven,7,2019,3,10854,173,1.59388244
SevenEleven,8,2019,4,10327,20,0.193667086
SevenEleven,9,2020,1,9357,-87,-0.929785188
SevenEleven,10,2020,2,10251,17,0.165837479
SevenEleven,11,2020,3,11005,74,0.672421627
SevenEleven,12,2020,4,10071,-90,-0.893655049
SevenEleven,13,2021,1,9794,-138,-1.409025934
SevenEleven,14,2021,2,10983,80,0.728398434
LotteMart,1,2018,1,15520,-440,-2.835051546
LotteMart,2,2018,2,15810,-780,-4.933586338
LotteMart,3,2018,3,17070,320,1.874633861
LotteMart,4,2018,4,14980,-80,-0.534045394
LotteMart,5,2019,1,15920,190,1.193467337
LotteMart,6,2019,2,15960,-340,-2.130325815
LotteMart,7,2019,3,16640,120,0.721153846
LotteMart,8,2019,4,14740,-230,-1.560379919
LotteMart,9,2020,1,16020,220,1.373283396
LotteMart,10,2020,2,14650,-570,-3.890784983
LotteMart,11,2020,3,15900,320,2.012578616
LotteMart,12,2020,4,13820,210,1.519536903
LotteMart,13,2021,1,14760,10,0.067750678
LotteMart,14,2021,2,14240,-260,-1.825842697
LotteSuper,1,2018,1,4900,-100,-2.040816327
LotteSuper,2,2018,2,5030,-140,-2.783300199
LotteSuper,3,2018,3,5210,-160,-3.071017274
LotteSuper,4,2018,4,4610,-230,-4.989154013
LotteSuper,5,2019,1,4740,-170,-3.58649789
LotteSuper,6,2019,2,4740,-200,-4.219409283
LotteSuper,7,2019,3,4760,-240,-5.042016807
LotteSuper,8,2019,4,4380,-430,-9.817351598
LotteSuper,9,2020,1,4910,-60,-1.221995927
LotteSuper,10,2020,2,4300,-100,-2.325581395
LotteSuper,11,2020,3,4550,30,0.659340659
LotteSuper,12,2020,4,2810,-70,-2.491103203
LotteSuper,13,2021,1,3880,30,0.773195876
LotteSuper,14,2021,2,3580,-20,-0.558659218
